Variable,Year,Value,RSE,Industry
AI stud fees and herd testing ($),1990,760,39,All Broadacre
Accounting services ($),1990,2730,4,All Broadacre
Advisory services ($),1990,260,37,All Broadacre
Age of owner manager (yrs),1990,53,1,All Broadacre
Age of spouse (yrs),1990,49,1,All Broadacre
Agistment ($),1990,1870,36,All Broadacre
Area operated at 30 June (ha),1990,5466,8,All Broadacre
Barley area sown (ha),1990,27,7,All Broadacre
Barley produced (t),1990,51,8,All Broadacre
Barley receipts ($),1990,16720,9,All Broadacre
Beef bulls at 30 June (no.),1990,6,9,All Broadacre
Beef calves at 30 June (no.),1990,60,5,All Broadacre
Beef cattle purchased ($),1990,25160,196,All Broadacre
Beef cattle purchased (no.),1990,27,155,All Broadacre
Beef cattle receipts ($),1990,100480,69,All Broadacre
Beef cattle sold (no.),1990,93,39,All Broadacre
Beef cattle transferred off farm (no.),1990,3,48,All Broadacre
Beef cattle transferred onto farm (no.),1990,3,48,All Broadacre
Beef cows at 30 June (no.),1990,102,5,All Broadacre
Beef heifers at 30 June (no.),1990,23,7,All Broadacre
Beef herd at 30 June (no.),1990,235,8,All Broadacre
Branding rate (%),1990,79.6,2,All Broadacre
Buildup in trading stocks ($),1990,9010,61,All Broadacre
Canola area sown (ha),1990,1,70,All Broadacre
Canola produced (t),1990,1,88,All Broadacre
Canola receipts ($),1990,490,80,All Broadacre
Capital appreciation ($),1990,-105890,19,All Broadacre
Capital at 1 July ($),1990,2482320,3,All Broadacre
Change in farm debt ($),1990,21140,24,All Broadacre
Contracts - cropping ($),1990,4710,9,All Broadacre
Contracts - livestock ($),1990,1060,15,All Broadacre
Cotton receipts ($),1990,390,62,All Broadacre
Crop and pasture chemicals ($),1990,10280,20,All Broadacre
Dairy cattle at June 30 (no.),1990,0,61,All Broadacre
Depreciation ($),1990,39560,4,All Broadacre
Electricity ($),1990,2830,11,All Broadacre
Equity ratio at 30 June (%),1990,90,1,All Broadacre
Ewes at 30 June (no.),1990,945,3,All Broadacre
Family share of farm income ($),1990,43280,10,All Broadacre
Farm business debt at 30 June ($),1990,233710,6,All Broadacre
Farm business equity June 30 ($),1990,2077920,3,All Broadacre
Farm business profit ($),1990,14350,38,All Broadacre
Farm cash income ($),1990,109330,5,All Broadacre
Farm liquid assets at 30 June ($),1990,124070,8,All Broadacre
Fertiliser ($),1990,19610,9,All Broadacre
Field peas area sown (ha),1990,6,20,All Broadacre
Field peas produced (t),1990,6,17,All Broadacre
Field peas receipts ($),1990,2940,20,All Broadacre
Fodder ($),1990,7780,252,All Broadacre
Fuel oil and grease ($),1990,19480,5,All Broadacre
Grain legumes area sown (ha),1990,17,49,All Broadacre
Grain legumes produced (t),1990,17,41,All Broadacre
Grain legumes receipts ($),1990,7090,44,All Broadacre
Handling and marketing ($),1990,20680,3,All Broadacre
Hours worked on farm - total (hrsperwk),1990,,,All Broadacre
Hours worked on farm by owner manager (hrsperwk),1990,,,All Broadacre
Hours worked on farm by spouse (hrsperwk),1990,,,All Broadacre
Imputed labor cost ($),1990,64430,2,All Broadacre
Insurance ($),1990,6030,5,All Broadacre
Interest paid ($),1990,37210,7,All Broadacre
Lambs at 30 June (no.),1990,450,4,All Broadacre
Land rent ($),1990,3180,13,All Broadacre
Leasing charges ($),1990,6980,26,All Broadacre
Livestock materials ($),1990,7660,4,All Broadacre
Livestock transfers - inwards ($),1990,2260,39,All Broadacre
Livestock transfers - outward ($),1990,2200,48,All Broadacre
Lupins area sown (ha),1990,10,81,All Broadacre
Lupins produced (t),1990,9,70,All Broadacre
Lupins receipts ($),1990,3110,88,All Broadacre
Net capital additions ($),1990,49600,17,All Broadacre
Oats area sown (ha),1990,20,9,All Broadacre
Oats produced (t),1990,20,10,All Broadacre
Oats receipts ($),1990,2410,17,All Broadacre
Off farm contracts ($),1990,6570,19,All Broadacre
Off farm sharefarming ($),1990,5150,29,All Broadacre
Off-farm work for owner manager (hrsperwk),1990,3,19,All Broadacre
Off-farm work for spouse (hrsperwk),1990,4,12,All Broadacre
Oilseeds area sown (ha),1990,6,53,All Broadacre
Oilseeds produced (t),1990,6,47,All Broadacre
Oilseeds receipts ($),1990,5360,33,All Broadacre
Other administration expenses ($),1990,4550,6,All Broadacre
Other farm income ($),1990,12050,26,All Broadacre
Other livestock purchased ($),1990,440,18,All Broadacre
Other livestock receipts ($),1990,4230,21,All Broadacre
Other materials ($),1990,2980,7,All Broadacre
Other services ($),1990,10750,6,All Broadacre
Payments to sharefarmers ($),1990,3640,21,All Broadacre
Population,1990,83618,,All Broadacre
Produce purchased for resale ($),1990,70,54,All Broadacre
Profit at full equity ($),1990,59350,8,All Broadacre
Profit at full equity including capital appreciation ($),1990,-46540,44,All Broadacre
Rams at 30 June (no.),1990,26,6,All Broadacre
Rate of return ex. capital appreciation (%),1990,2.5,8,All Broadacre
Rate of return inc. capital appreciation (%),1990,-1.9,44,All Broadacre
Repairs and maintenance ($),1990,29840,6,All Broadacre
Rice area sown (ha),1990,1,23,All Broadacre
Sample Contributing,1990,1041,,All Broadacre
Seed ($),1990,3360,10,All Broadacre
Shearing crutching ($),1990,13280,4,All Broadacre
Sheep and lambs shorn (no.),1990,2136,3,All Broadacre
Sheep flock at 30 June (no.),1990,2018,3,All Broadacre
Sheep purchased ($),1990,10990,13,All Broadacre
Sheep purchased (no.),1990,170,18,All Broadacre
Sheep receipts ($),1990,30090,6,All Broadacre
Sheep sold (no.),1990,583,4,All Broadacre
Shire and PPB rates ($),1990,7730,4,All Broadacre
Sorghum area sown (ha),1990,7,29,All Broadacre
Sorghum produced (t),1990,12,19,All Broadacre
Sorghum receipts ($),1990,4710,20,All Broadacre
Steers and other beef cattle at 30 June (no.),1990,45,37,All Broadacre
Stores and rations ($),1990,760,9,All Broadacre
Telephone ($),1990,2420,4,All Broadacre
Total area cropped (ha),1990,211,10,All Broadacre
Total area irrigated (ha),1990,12,13,All Broadacre
Total cash costs ($),1990,298950,25,All Broadacre
Total cash receipts ($),1990,408270,18,All Broadacre
Total closing capital ($),1990,2395470,3,All Broadacre
Total crop gross receipts ($),1990,115530,10,All Broadacre
Total family income ($),1990,83160,6,All Broadacre
Total freight ($),1990,13360,13,All Broadacre
Total labor used (weeks),1990,109,3,All Broadacre
Total non farm income ($),1990,32540,6,All Broadacre
Total off farm wages ($),1990,11100,12,All Broadacre
Total wool sold (kg),1990,10026,3,All Broadacre
Value of land and fixed improvements ($),1990,1948510,3,All Broadacre
Vet fees ($),1990,430,14,All Broadacre
Wages for hired labor ($),1990,12340,14,All Broadacre
Water charges ($),1990,1480,15,All Broadacre
Wethers at 30 June (no.),1990,598,5,All Broadacre
Wheat area sown (ha),1990,105,11,All Broadacre
Wheat produced (t),1990,167,11,All Broadacre
Wheat receipts ($),1990,67210,12,All Broadacre
Wheat sold (t),1990,162,11,All Broadacre
Wool cut per head (kg),1990,4.7,1,All Broadacre
Wool produced (kg),1990,10034,3,All Broadacre
Wool receipts ($),1990,131970,3,All Broadacre
AI stud fees and herd testing ($),1990,1760,59,Beef
Accounting services ($),1990,2230,9,Beef
Advisory services ($),1990,140,46,Beef
Age of owner manager (yrs),1990,57,2,Beef
Age of spouse (yrs),1990,51,3,Beef
Agistment ($),1990,2930,28,Beef
Area operated at 30 June (ha),1990,12927,14,Beef
Barley area sown (ha),1990,3,36,Beef
Barley produced (t),1990,4,58,Beef
Barley receipts ($),1990,1350,73,Beef
Beef bulls at 30 June (no.),1990,18,12,Beef
Beef calves at 30 June (no.),1990,169,7,Beef
Beef cattle purchased ($),1990,60970,17,Beef
Beef cattle purchased (no.),1990,64,20,Beef
Beef cattle receipts ($),1990,269080,7,Beef
Beef cattle sold (no.),1990,249,6,Beef
Beef cattle transferred off farm (no.),1990,11,52,Beef
Beef cattle transferred onto farm (no.),1990,12,50,Beef
Beef cows at 30 June (no.),1990,301,6,Beef
Beef heifers at 30 June (no.),1990,67,9,Beef
Beef herd at 30 June (no.),1990,697,6,Beef
Branding rate (%),1990,77.4,3,Beef
Buildup in trading stocks ($),1990,12910,65,Beef
Canola area sown (ha),1990,0,,Beef
Canola produced (t),1990,0,,Beef
Canola receipts ($),1990,0,,Beef
Capital appreciation ($),1990,76420,40,Beef
Capital at 1 July ($),1990,2716220,6,Beef
Change in farm debt ($),1990,7000,139,Beef
Contracts - cropping ($),1990,1220,22,Beef
Contracts - livestock ($),1990,1700,20,Beef
Cotton receipts ($),1990,0,,Beef
Crop and pasture chemicals ($),1990,2490,24,Beef
Dairy cattle at June 30 (no.),1990,0,161,Beef
Depreciation ($),1990,31680,9,Beef
Electricity ($),1990,2220,10,Beef
Equity ratio at 30 June (%),1990,95,1,Beef
Ewes at 30 June (no.),1990,15,42,Beef
Family share of farm income ($),1990,19120,78,Beef
Farm business debt at 30 June ($),1990,142010,16,Beef
Farm business equity June 30 ($),1990,2478150,6,Beef
Farm business profit ($),1990,-13500,103,Beef
Farm cash income ($),1990,61360,19,Beef
Farm liquid assets at 30 June ($),1990,140830,20,Beef
Fertiliser ($),1990,9760,11,Beef
Field peas area sown (ha),1990,0,94,Beef
Field peas produced (t),1990,0,108,Beef
Field peas receipts ($),1990,80,108,Beef
Fodder ($),1990,11540,22,Beef
Fuel oil and grease ($),1990,14460,14,Beef
Grain legumes area sown (ha),1990,1,53,Beef
Grain legumes produced (t),1990,1,65,Beef
Grain legumes receipts ($),1990,330,54,Beef
Handling and marketing ($),1990,11220,7,Beef
Hours worked on farm - total (hrsperwk),1990,,,Beef
Hours worked on farm by owner manager (hrsperwk),1990,,,Beef
Hours worked on farm by spouse (hrsperwk),1990,,,Beef
Imputed labor cost ($),1990,56090,5,Beef
Insurance ($),1990,4090,11,Beef
Interest paid ($),1990,31430,18,Beef
Lambs at 30 June (no.),1990,11,44,Beef
Land rent ($),1990,1790,18,Beef
Leasing charges ($),1990,7980,67,Beef
Livestock materials ($),1990,5250,10,Beef
Livestock transfers - inwards ($),1990,7320,49,Beef
Livestock transfers - outward ($),1990,7510,59,Beef
Lupins area sown (ha),1990,0,82,Beef
Lupins produced (t),1990,1,85,Beef
Lupins receipts ($),1990,140,83,Beef
Net capital additions ($),1990,7390,168,Beef
Oats area sown (ha),1990,8,20,Beef
Oats produced (t),1990,2,41,Beef
Oats receipts ($),1990,50,54,Beef
Off farm contracts ($),1990,2530,28,Beef
Off farm sharefarming ($),1990,470,80,Beef
Off-farm work for owner manager (hrsperwk),1990,4,31,Beef
Off-farm work for spouse (hrsperwk),1990,2,27,Beef
Oilseeds area sown (ha),1990,16,87,Beef
Oilseeds produced (t),1990,12,86,Beef
Oilseeds receipts ($),1990,9460,71,Beef
Other administration expenses ($),1990,4370,11,Beef
Other farm income ($),1990,9010,15,Beef
Other livestock purchased ($),1990,730,30,Beef
Other livestock receipts ($),1990,3720,39,Beef
Other materials ($),1990,2030,14,Beef
Other services ($),1990,12060,10,Beef
Payments to sharefarmers ($),1990,690,62,Beef
Population,1990,19850,,Beef
Produce purchased for resale ($),1990,0,,Beef
Profit at full equity ($),1990,26920,39,Beef
Profit at full equity including capital appreciation ($),1990,103340,29,Beef
Rams at 30 June (no.),1990,1,34,Beef
Rate of return ex. capital appreciation (%),1990,1,39,Beef
Rate of return inc. capital appreciation (%),1990,3.7,28,Beef
Repairs and maintenance ($),1990,23710,9,Beef
Rice area sown (ha),1990,0,,Beef
Sample Contributing,1990,266,,Beef
Seed ($),1990,3430,35,Beef
Shearing crutching ($),1990,200,53,Beef
Sheep and lambs shorn (no.),1990,47,39,Beef
Sheep flock at 30 June (no.),1990,48,38,Beef
Sheep purchased ($),1990,500,48,Beef
Sheep purchased (no.),1990,16,42,Beef
Sheep receipts ($),1990,1200,33,Beef
Sheep sold (no.),1990,25,31,Beef
Shire and PPB rates ($),1990,7840,8,Beef
Sorghum area sown (ha),1990,12,69,Beef
Sorghum produced (t),1990,3,45,Beef
Sorghum receipts ($),1990,4400,70,Beef
Steers and other beef cattle at 30 June (no.),1990,141,10,Beef
Stores and rations ($),1990,1240,15,Beef
Telephone ($),1990,2090,7,Beef
Total area cropped (ha),1990,73,32,Beef
Total area irrigated (ha),1990,5,23,Beef
Total cash costs ($),1990,261780,9,Beef
Total cash receipts ($),1990,323140,8,Beef
Total closing capital ($),1990,2781550,6,Beef
Total crop gross receipts ($),1990,26850,45,Beef
Total family income ($),1990,65460,23,Beef
Total freight ($),1990,8110,13,Beef
Total labor used (weeks),1990,99,5,Beef
Total non farm income ($),1990,38770,14,Beef
Total off farm wages ($),1990,10740,26,Beef
Total wool sold (kg),1990,208,41,Beef
Value of land and fixed improvements ($),1990,2162290,7,Beef
